street,between,completed
N Swan Lake Dr,,
S Swan Lake Dr,,
Bascombe Dr,,
Bassett Dr,,
Berchman Dr,Harshmanville Rd & Stonehurst Dr,3/17/2021
Blackshear Dr,Pagent Ln & Harshmanville Rd,2/23/2021
Brandt Pike,San Juan Ct & Highbury Rd,
Cadman Dr,,
Calmcrest Ct,,3/8/2021
Camerford Dr,,
Camrose Ct,,3/8/2021
Chadbourne Dr,,
Charing Ct,,
Charnwood Dr,,3/8/2021
Citadel Dr,,
Clagston Ct,,
Claircrest Dr,,
Claybeck Dr,,
Clearlake Dr,,
Cliffstone Dr,,
Cliffwood Pl,,
Cohasset Dr,,
Colegrove Dr,,
Cologne Pl,,
Corby Way,,
Corfu Ct,,
Corlett Ct,,3/8/2021
Craigmont Ct,,3/8/2021
Dalmation Dr,,
Damascus Dr,,
Gentry Ln,,
Glen Ivy Dr,,
Glengate Ct,,
Greydale Dr,,
Greydale Dr,Summerdale Dr & Taylorsville Rd,3/18/2021
Grovehill Dr,,
Harshmanville Rd,Berchman Dr & Longford Rd,3/18/2021
Harshmanville Rd,Taylorsville Rd & Berchman Dr,3/18/2021
Harshmanville Rd,Taylorsville Rd & Longford Rd,3/1/2021
Highbury Rd,,
Howland Pl,,
Kingsbury Dr,,3/4/2021
Kismet Pl,,
Klyemore Dr,,
Klyemore Dr,Kingsbury Dr & Montague Rd,3/4/2021
Lancer Ct,,2/23/2021
Larcomb Dr,,
Larcomb Dr,Harshmanville Rd & Montague Rd,3/1/2021
Leawood Dr,,
Leawood Dr,Harshmanville Rd & Montague Rd,3/4/2021
Longford Rd,Old Troy Pike & Citadel Dr,
Longford Rd,Harshmanville Rd & Montague Rd,3/1/2021
Mandrake Dr,,
Maringo Dr,,
Merily Way,,
Millhoff Dr,,
Moberly Pl,,
Montague Rd,,3/1/2021
Mount Aetna St,,
Mount Carmel St,,
Mount Charles Dr,,
Mount Everest St,,
Mount Hood,,
Mount Hood,Pomeranian Dr & Taylorsville Rd,3/8/2021
Mount Mansfield Dr,,
Mount Mckinley Dr,,
Mount Ranier,,3/8/2021
Mount Snow Dr,,
Mount Washington Dr,,
Mount Whitney Dr,,3/8/2021
Natoma Pl,,
Old Troy Pike,I-70 & Longford Rd,
Old Troy Pike Access,Taylorsville Rd & Longford Rd,
Pablo Dr,,
Pagent Ln,,2/23/2021
Pegwood Ct,,3/18/2021
Pomeranian Dr,,
Redbank Ln,,
Remmick Ln,,
Rio Vista Ct,,
Rothfield Dr,,
San Fernando Rd,,
San Juan Ct,,
Sebring Dr,,
Shalamar Dr,,
Shellcross Dr,,
Showplace Dr,,
Somerville Dr,,
Spokane Dr,,
Springport Way,,
Stancrest Dr,,
Stanhill Pl,,
Stockbridge Dr,,
Stockholm Dr,,
Stonehurst Dr,Berchman Dr & Stonecrest Dr,
Stonehurst Dr,Berchman Dr & Pegwood Ct,3/18/2021
Stonesboro Dr,,3/18/2021
Summerdale Dr,Stancrest Dr & Sebring Dr,
Summerdale Dr,Greydale Dr & Stoneboro Dr,3/18/2021
Taylorsville Rd,Old Troy Pike & San Fernando Rd,
Taylorsville Rd,Old Troy Pike & Harshmanville Rd,3/8/2021
Taylorsville Rd,Harshmanville Rd & Greydale Dr,3/18/2021
Toulon Ct,,
Treon Pl,,
Troy Crest Ct,,
Troy Manor Rd,,
Troy Manor Rd,Taylorsville Rd & Charnwood Dr,3/8/2021
Tyndale Ct,,
